name,type,start_time,duration,"data","error"
"Async TX","data",1.4056065,0.000082,"ÿ",
"Async TX","data",1.405693,0.000082,"ÿ",
"Async TX","data",1.4261975,0.000082,"j",
"Async TX","data",1.4262845,0.000082,"0",
"Async TX","data",1.426371,0.000082,".",
"Async TX","data",1.426458,0.000082,"v",
"Async TX","data",1.4265445,0.000082,"a",
"Async TX","data",1.4266315,0.000082,"l",
"Async TX","data",1.426718,0.000082,"=",
"Async TX","data",1.426805,0.000082,"1",
"Async TX","data",1.4268915,0.000082,"3",
"Async TX","data",1.4269785,0.000082,"ÿ",
"Async TX","data",1.427065,0.000082,"ÿ",
"Async TX","data",1.427152,0.000082,"ÿ",
"Async TX","data",1.4272475,0.000082,"t",
"Async TX","data",1.427334,0.000082,"0",
"Async TX","data",1.427421,0.000082,".",
"Async TX","data",1.4275075,0.000082,"t",
"Async TX","data",1.4275945,0.000082,"x",
"Async TX","data",1.427681,0.000082,"t",
"Async TX","data",1.427768,0.000082,"=",
"Async TX","data",1.4278545,0.000082,"""",
"Async TX","data",1.4279415,0.000082,"1",
"Async TX","data",1.428028,0.000082,"3",
"Async TX","data",1.428115,0.000082,"%",
"Async TX","data",1.428202,0.000082,"""",
"Async TX","data",1.4282885,0.000082,"ÿ",
"Async TX","data",1.4283755,0.000082,"ÿ",
"Async TX","data",1.428462,0.000082,"ÿ",
"Async TX","data",1.448965,0.000082,"j",
"Async TX","data",1.449052,0.000082,"0",
"Async TX","data",1.4491385,0.000082,".",
"Async TX","data",1.4492255,0.000082,"v",
"Async TX","data",1.449312,0.000082,"a",
"Async TX","data",1.449399,0.000082,"l",
"Async TX","data",1.449486,0.000082,"=",
"Async TX","data",1.4495725,0.000082,"1",
"Async TX","data",1.4496595,0.000082,"4",
"Async TX","data",1.449746,0.000082,"ÿ",
"Async TX","data",1.449833,0.000082,"ÿ",
"Async TX","data",1.4499195,0.000082,"ÿ",
"Async TX","data",1.450015,0.000082,"t",
"Async TX","data",1.450102,0.000082,"0",
"Async TX","data",1.4501885,0.000082,".",
"Async TX","data",1.4502755,0.000082,"t",
"Async TX","data",1.450362,0.000082,"x",
"Async TX","data",1.450449,0.000082,"t",
"Async TX","data",1.4505355,0.000082,"=",
"Async TX","data",1.4506225,0.000082,"""",
"Async TX","data",1.4507095,0.000082,"1",
"Async TX","data",1.450796,0.000082,"4",
"Async TX","data",1.450883,0.000082,"%",
"Async TX","data",1.4509695,0.000082,"""",
"Async TX","data",1.4510565,0.000082,"ÿ",
"Async TX","data",1.451143,0.000082,"ÿ",
"Async TX","data",1.4512295,0.000082,"ÿ",
"Async TX","data",1.4717335,0.000082,"j",
"Async TX","data",1.47182,0.000082,"0",
"Async TX","data",1.471907,0.000082,".",
"Async TX","data",1.4719935,0.000082,"v",
"Async TX","data",1.4720805,0.000082,"a",
"Async TX","data",1.472167,0.000082,"l",
"Async TX","data",1.472254,0.000082,"=",
"Async TX","data",1.4723405,0.000082,"1",
"Async TX","data",1.4724275,0.000082,"5",
"Async TX","data",1.472514,0.000082,"ÿ",
"Async TX","data",1.472601,0.000082,"ÿ",
"Async TX","data",1.4726875,0.000082,"ÿ",
"Async TX","data",1.472783,0.000082,"t",
"Async TX","data",1.47287,0.000082,"0",
"Async TX","data",1.4729565,0.000082,".",
"Async TX","data",1.4730435,0.000082,"t",
"Async TX","data",1.47313,0.000082,"x",
"Async TX","data",1.473217,0.000082,"t",
"Async TX","data",1.4733035,0.000082,"=",
"Async TX","data",1.4733905,0.000082,"""",
"Async TX","data",1.4734775,0.000082,"1",
"Async TX","data",1.473564,0.000082,"5",
"Async TX","data",1.473651,0.000082,"%",
"Async TX","data",1.4737375,0.000082,"""",
"Async TX","data",1.4738245,0.000082,"ÿ",
"Async TX","data",1.473911,0.000082,"ÿ",
"Async TX","data",1.473998,0.000082,"ÿ",
"Async TX","data",1.4945095,0.000082,"j",
"Async TX","data",1.494596,0.000082,"0",
"Async TX","data",1.494683,0.000082,".",
"Async TX","data",1.49477,0.000082,"v",
"Async TX","data",1.4948565,0.000082,"a",
"Async TX","data",1.494943,0.000082,"l",
"Async TX","data",1.49503,0.000082,"=",
"Async TX","data",1.4951165,0.000082,"1",
"Async TX","data",1.4952035,0.000082,"6",
"Async TX","data",1.49529,0.000082,"ÿ",
"Async TX","data",1.495377,0.000082,"ÿ",
"Async TX","data",1.4954635,0.000082,"ÿ",
"Async TX","data",1.495559,0.000082,"t",
"Async TX","data",1.495646,0.000082,"0",
"Async TX","data",1.4957325,0.000082,".",
"Async TX","data",1.4958195,0.000082,"t",
"Async TX","data",1.495906,0.000082,"x",
"Async TX","data",1.495993,0.000082,"t",
"Async TX","data",1.4960795,0.000082,"=",
"Async TX","data",1.4961665,0.000082,"""",
"Async TX","data",1.496253,0.000082,"1",
"Async TX","data",1.49634,0.000082,"6",
"Async TX","data",1.4964265,0.000082,"%",
"Async TX","data",1.4965135,0.000082,"""",
"Async TX","data",1.4966,0.000082,"ÿ",
"Async TX","data",1.496687,0.000082,"ÿ",
"Async TX","data",1.4967735,0.000082,"ÿ",
"Async TX","data",1.5172715,0.000082,"j",
"Async TX","data",1.517358,0.000082,"0",
"Async TX","data",1.517445,0.000082,".",
"Async TX","data",1.5175315,0.000082,"v",
"Async TX","data",1.5176185,0.000082,"a",
"Async TX","data",1.517705,0.000082,"l",
"Async TX","data",1.517792,0.000082,"=",
"Async TX","data",1.5178785,0.000082,"1",
"Async TX","data",1.5179655,0.000082,"7",
"Async TX","data",1.5180525,0.000082,"ÿ",
"Async TX","data",1.518139,0.000082,"ÿ",
"Async TX","data",1.518226,0.000082,"ÿ",
"Async TX","data",1.518321,0.000082,"t",
"Async TX","data",1.518408,0.000082,"0",
"Async TX","data",1.518495,0.000082,".",
"Async TX","data",1.5185815,0.000082,"t",
"Async TX","data",1.518668,0.000082,"x",
"Async TX","data",1.518755,0.000082,"t",
"Async TX","data",1.5188415,0.000082,"=",
"Async TX","data",1.5189285,0.000082,"""",
"Async TX","data",1.5190155,0.000082,"1",
"Async TX","data",1.519102,0.000082,"7",
"Async TX","data",1.519189,0.000082,"%",
"Async TX","data",1.5192755,0.000082,"""",
"Async TX","data",1.5193625,0.000082,"ÿ",
"Async TX","data",1.519449,0.000082,"ÿ",
"Async TX","data",1.519536,0.000082,"ÿ",
"Async TX","data",1.540041,0.000082,"j",
"Async TX","data",1.5401275,0.000082,"0",
"Async TX","data",1.5402145,0.000082,".",
"Async TX","data",1.540301,0.000082,"v",
"Async TX","data",1.540388,0.000082,"a",
"Async TX","data",1.540475,0.000082,"l",
"Async TX","data",1.5405615,0.000082,"=",
"Async TX","data",1.5406485,0.000082,"1",
"Async TX","data",1.540735,0.000082,"8",
"Async TX","data",1.540822,0.000082,"ÿ",
"Async TX","data",1.5409085,0.000082,"ÿ",
"Async TX","data",1.5409955,0.000082,"ÿ",
"Async TX","data",1.541091,0.000082,"t",
"Async TX","data",1.5411775,0.000082,"0",
"Async TX","data",1.5412645,0.000082,".",
"Async TX","data",1.541351,0.000082,"t",
"Async TX","data",1.5414375,0.000082,"x",
"Async TX","data",1.5415245,0.000082,"t",
"Async TX","data",1.541611,0.000082,"=",
"Async TX","data",1.541698,0.000082,"""",
